year,district,crop,season,area,production
2012,Trichy,Groundnut,Kharif,139.26,435.21
2012,Trichy,Bengal Gram,Kharif,217.51,301.18
2012,Trichy,Bengal Gram,Kharif,121.79,259.92
2013,Trichy,Groundnut,Kharif,218.11,374.99
2013,Trichy,Groundnut,Kharif,245.93,242.06
2013,Trichy,Bengal Gram,Kharif,248.93,397.84
2013,Trichy,Bengal Gram,Kharif,189.67,259.94
2014,Trichy,Groundnut,Kharif,210.88,407.51
2014,Trichy,Groundnut,Kharif,193.76,357.4
2014,Trichy,Bengal Gram,Kharif,188.54,403.68
2014,Trichy,Bengal Gram,Kharif,218.48,358.03
2015,Trichy,Groundnut,Kharif,267.58,274.37
2015,Trichy,Groundnut,Kharif,111.29,277.61
2015,Trichy,Bengal Gram,Kharif,235.69,330.25
2015,Trichy,Bengal Gram,Kharif,234.43,322.06
2016,Trichy,Groundnut,Kharif,107.27,359.61
2016,Trichy,Groundnut,Kharif,236.71,270.93
2016,Trichy,Bengal Gram,Kharif,167.78,227.24
2016,Trichy,Bengal Gram,Kharif,146.83,382.3
2017,Trichy,Groundnut,Kharif,230.97,327
2017,Trichy,Groundnut,Kharif,145.59,243.02
2017,Trichy,Bengal Gram,Kharif,252.4,368.69
2017,Trichy,Bengal Gram,Kharif,158.46,361.5
2018,Trichy,Groundnut,Kharif,252.13,414.52
2018,Trichy,Groundnut,Kharif,156.17,463.01
2018,Trichy,Bengal Gram,Kharif,265.15,449.84
2018,Trichy,Bengal Gram,Kharif,257.04,292.74
2019,Trichy,Groundnut,Kharif,147.3,286.01
2019,Trichy,Groundnut,Kharif,202.92,412.84
2019,Trichy,Bengal Gram,Kharif,206.17,381.45
2019,Trichy,Bengal Gram,Kharif,97.51,294.26
2020,Trichy,Groundnut,Kharif,233.74,309.66
2020,Trichy,Groundnut,Kharif,139.87,307.45
2020,Trichy,Bengal Gram,Kharif,222.65,331.97
2020,Trichy,Bengal Gram,Kharif,96.73,452.82
2021,Trichy,Groundnut,Kharif,139.13,423.62
2021,Trichy,Groundnut,Kharif,237.6,339.45
2021,Trichy,Bengal Gram,Kharif,240.47,458.72
2021,Trichy,Bengal Gram,Kharif,136.4,248.5
2009,Salem,Groundnut,Kharif,82.86,181.49
2009,Salem,Groundnut,Kharif,55.28,239.73
2009,Salem,Bengal Gram,Kharif,131.32,227.79
2009,Salem,Bengal Gram,Kharif,137.65,128.29
2010,Salem,Groundnut,Kharif,138.78,124.04
2010,Salem,Groundnut,Kharif,69.01,222.53
2010,Salem,Bengal Gram,Kharif,37.49,181.43
2010,Salem,Bengal Gram,Kharif,41.78,240.5
2011,Salem,Groundnut,Kharif,44.81,162.48
2011,Salem,Groundnut,Kharif,43.32,143.09
2011,Salem,Bengal Gram,Kharif,108.38,194.55
2011,Salem,Bengal Gram,Kharif,113.45,131.88
2012,Salem,Groundnut,Kharif,58.38,180.98
2012,Salem,Groundnut,Kharif,107.44,218.55
2012,Salem,Bengal Gram,Kharif,48.63,130.54
2012,Salem,Bengal Gram,Kharif,136.95,261.81
2013,Salem,Groundnut,Kharif,88.67,158.96
2013,Salem,Groundnut,Kharif,41.14,124.54
2013,Salem,Bengal Gram,Kharif,105.21,137.19
2013,Salem,Bengal Gram,Kharif,126.57,179.8
2014,Salem,Groundnut,Kharif,99.64,175.75
2014,Salem,Groundnut,Kharif,124.71,231.02
2014,Salem,Bengal Gram,Kharif,41.06,250.16
2014,Salem,Bengal Gram,Kharif,66.97,109.16
2015,Salem,Groundnut,Kharif,41.32,125.52
2015,Salem,Groundnut,Kharif,52.72,244.99
2015,Salem,Bengal Gram,Kharif,42.19,248.05
2015,Salem,Bengal Gram,Kharif,69.64,264.99
2016,Salem,Groundnut,Kharif,107.36,145.44
2016,Salem,Groundnut,Kharif,71.22,169.02
2016,Salem,Bengal Gram,Kharif,53.81,143.03
2016,Salem,Bengal Gram,Kharif,143.69,111.19
2017,Salem,Groundnut,Kharif,111.51,163.27
2017,Salem,Groundnut,Kharif,42.43,124.66
2017,Salem,Bengal Gram,Kharif,90.28,182.01
2017,Salem,Bengal Gram,Kharif,124.88,120.46
2018,Salem,Groundnut,Kharif,103.13,114.61
2018,Salem,Groundnut,Kharif,78.42,164.71
2018,Salem,Bengal Gram,Kharif,68.02,111.73
2018,Salem,Bengal Gram,Kharif,57.08,231.87
2019,Salem,Groundnut,Kharif,66.95,232.56
2019,Salem,Groundnut,Kharif,99.56,228.9
2019,Salem,Bengal Gram,Kharif,95.1,197.63
2019,Salem,Bengal Gram,Kharif,67.56,198.6
2020,Salem,Groundnut,Kharif,135.18,171.98
2020,Salem,Groundnut,Kharif,89.09,214.12
2020,Salem,Bengal Gram,Kharif,46.7,149.49
2020,Salem,Bengal Gram,Kharif,65.56,128.49
2021,Salem,Groundnut,Kharif,72.87,125.52
2021,Salem,Groundnut,Kharif,55.64,242.29
2021,Salem,Bengal Gram,Kharif,139.01,194.63
2021,Salem,Bengal Gram,Kharif,70.06,148.24
2009,Salem,Groundnut,Kharif,43.63,193.79
2009,Salem,Groundnut,Kharif,81.3,129.4
2009,Salem,Bengal Gram,Kharif,59.57,174.14
2009,Salem,Bengal Gram,Kharif,72.57,197.28
2010,Salem,Groundnut,Kharif,39.94,162.36
2010,Salem,Groundnut,Kharif,84.81,180.45
2010,Salem,Bengal Gram,Kharif,139.68,241.12
2010,Salem,Bengal Gram,Kharif,143.23,254.19
2011,Salem,Groundnut,Kharif,124.16,252.95
2011,Salem,Groundnut,Kharif,115.42,265.62
2011,Salem,Bengal Gram,Kharif,71.93,184.16
2011,Salem,Bengal Gram,Kharif,133.43,261.34
2012,Salem,Groundnut,Kharif,50.62,136.22
2012,Salem,Groundnut,Kharif,82.27,160.51
2012,Salem,Bengal Gram,Kharif,50.88,227.84
2012,Salem,Bengal Gram,Kharif,99.46,199.24
2013,Salem,Groundnut,Kharif,135.45,220.22
2013,Salem,Groundnut,Kharif,92.95,254.9
2013,Salem,Bengal Gram,Kharif,122.77,163.67
2013,Salem,Bengal Gram,Kharif,128.19,140.52
2014,Salem,Groundnut,Kharif,49.25,151.77
2014,Salem,Groundnut,Kharif,100.25,129.87
2014,Salem,Bengal Gram,Kharif,71.51,117.91
2014,Salem,Bengal Gram,Kharif,87.4,272.12
2015,Salem,Groundnut,Kharif,55.99,185.02
2015,Salem,Groundnut,Kharif,41.36,277.35
2015,Salem,Bengal Gram,Kharif,73.92,259.96
2015,Salem,Bengal Gram,Kharif,59.08,122.72
2016,Salem,Groundnut,Kharif,88.19,141.42
2016,Salem,Groundnut,Kharif,102.77,203.56
2016,Salem,Bengal Gram,Kharif,87.54,160.33
2016,Salem,Bengal Gram,Kharif,66.43,161.46
2017,Salem,Groundnut,Kharif,124.65,210.6
2017,Salem,Groundnut,Kharif,97.3,108.28
2017,Salem,Bengal Gram,Kharif,137.44,156.52
2017,Salem,Bengal Gram,Kharif,66.32,143.84
2018,Salem,Groundnut,Kharif,41.57,221.66
2018,Salem,Groundnut,Kharif,100,206.1
2018,Salem,Bengal Gram,Kharif,138.16,134.78
2018,Salem,Bengal Gram,Kharif,119.95,170
2019,Salem,Groundnut,Kharif,44.97,163.4
2019,Salem,Groundnut,Kharif,45.66,199.68
2019,Salem,Bengal Gram,Kharif,143.52,241.93
2019,Salem,Bengal Gram,Kharif,116.76,204.57
2020,Salem,Groundnut,Kharif,133.04,190.11
2020,Salem,Groundnut,Kharif,42.96,243.76
2020,Salem,Bengal Gram,Kharif,139.47,133.07
2020,Salem,Bengal Gram,Kharif,91.89,273.15
2021,Salem,Groundnut,Kharif,79.17,157.83
2021,Salem,Groundnut,Kharif,53.7,276.22
2021,Salem,Bengal Gram,Kharif,122.82,159.88
2021,Salem,Bengal Gram,Kharif,79.21,154.76
2009,Coimbatore,Groundnut,Kharif,63.56,147.91
2009,Coimbatore,Groundnut,Kharif,71.76,155.4
2009,Coimbatore,Bengal Gram,Kharif,60.13,155.59
2009,Coimbatore,Bengal Gram,Kharif,93.01,175.37
2010,Coimbatore,Groundnut,Kharif,132.49,171.91
2010,Coimbatore,Groundnut,Kharif,65.14,154.58
2010,Coimbatore,Bengal Gram,Kharif,51.37,168.86
2010,Coimbatore,Bengal Gram,Kharif,93.39,193.47
2011,Coimbatore,Groundnut,Kharif,47.01,191.59
2011,Coimbatore,Groundnut,Kharif,49.16,191.17
2011,Coimbatore,Bengal Gram,Kharif,57.53,177.76
2011,Coimbatore,Bengal Gram,Kharif,117.09,143.77
2012,Coimbatore,Groundnut,Kharif,72.08,172.35
2012,Coimbatore,Groundnut,Kharif,56.72,171.21
2012,Coimbatore,Bengal Gram,Kharif,58.26,162.7
2012,Coimbatore,Bengal Gram,Kharif,49.45,198.02
2013,Coimbatore,Groundnut,Kharif,85.21,200.77
2013,Coimbatore,Groundnut,Kharif,120.12,149.47
2013,Coimbatore,Bengal Gram,Kharif,127.66,172.94
2013,Coimbatore,Bengal Gram,Kharif,70.18,131.68
2014,Coimbatore,Groundnut,Kharif,115.61,149.13
2014,Coimbatore,Groundnut,Kharif,47.32,165.12
2014,Coimbatore,Bengal Gram,Kharif,50.28,177.56
2014,Coimbatore,Bengal Gram,Kharif,102.28,211.9
2015,Coimbatore,Groundnut,Kharif,58.9,128.84
2015,Coimbatore,Groundnut,Kharif,78.33,183.98
2015,Coimbatore,Bengal Gram,Kharif,57.51,134.08
2015,Coimbatore,Bengal Gram,Kharif,111.92,206.85
2016,Coimbatore,Groundnut,Kharif,121.91,212.82
2016,Coimbatore,Groundnut,Kharif,90.72,133.57
2016,Coimbatore,Bengal Gram,Kharif,112.83,156.91
2016,Coimbatore,Bengal Gram,Kharif,84.16,135.68
2017,Coimbatore,Groundnut,Kharif,64.6,211.18
2017,Coimbatore,Groundnut,Kharif,81.94,189.06
2017,Coimbatore,Bengal Gram,Kharif,96.17,215.02
2017,Coimbatore,Bengal Gram,Kharif,103.84,209.47
2018,Coimbatore,Groundnut,Kharif,61.09,175.9
2018,Coimbatore,Groundnut,Kharif,48.7,165.7
2018,Coimbatore,Bengal Gram,Kharif,89.36,203.11
2018,Coimbatore,Bengal Gram,Kharif,73.52,132.05
2019,Coimbatore,Groundnut,Kharif,74.47,177.01
2019,Coimbatore,Groundnut,Kharif,91.18,171.33
2019,Coimbatore,Bengal Gram,Kharif,102.3,172.9
2019,Coimbatore,Bengal Gram,Kharif,98.13,185.64
2020,Coimbatore,Groundnut,Kharif,107.23,174.44
2020,Coimbatore,Groundnut,Kharif,118.1,201.76
2020,Coimbatore,Bengal Gram,Kharif,47.17,184.32
2020,Coimbatore,Bengal Gram,Kharif,102.14,200.17
2021,Coimbatore,Groundnut,Kharif,86.83,205.96
2021,Coimbatore,Groundnut,Kharif,93.44,218.43
2021,Coimbatore,Bengal Gram,Kharif,94.95,144.79
2021,Coimbatore,Bengal Gram,Kharif,48.16,144.75
2009,Coimbatore,Groundnut,Kharif,125.39,157.09
2009,Coimbatore,Groundnut,Kharif,110.48,206.28
2009,Coimbatore,Bengal Gram,Kharif,52.85,153.8
2009,Coimbatore,Bengal Gram,Kharif,94.89,157.82
2010,Coimbatore,Groundnut,Kharif,95.7,188.95
2010,Coimbatore,Groundnut,Kharif,128.3,205.24
2010,Coimbatore,Bengal Gram,Kharif,49.6,166.53
2010,Coimbatore,Bengal Gram,Kharif,129.04,214.46
2011,Coimbatore,Groundnut,Kharif,54.49,159.92
2011,Coimbatore,Groundnut,Kharif,102,165.13
2011,Coimbatore,Bengal Gram,Kharif,94.25,185.03
2011,Coimbatore,Bengal Gram,Kharif,105.18,177.65
2012,Coimbatore,Groundnut,Kharif,47.9,197.91
2012,Coimbatore,Groundnut,Kharif,119.35,183.9
2012,Coimbatore,Bengal Gram,Kharif,55.1,152.28
2012,Coimbatore,Bengal Gram,Kharif,54.15,164.84
2013,Coimbatore,Groundnut,Kharif,63.8,210.97
2013,Coimbatore,Groundnut,Kharif,131.19,131.9
2013,Coimbatore,Bengal Gram,Kharif,99.99,165.99
2013,Coimbatore,Bengal Gram,Kharif,108.28,130.61
2014,Coimbatore,Groundnut,Kharif,110.27,209.62
2014,Coimbatore,Groundnut,Kharif,61.48,152.13
2014,Coimbatore,Bengal Gram,Kharif,113.59,145.15
2014,Coimbatore,Bengal Gram,Kharif,78,131.05
2015,Coimbatore,Groundnut,Kharif,101.25,131.92
2015,Coimbatore,Groundnut,Kharif,129.34,134.51
2015,Coimbatore,Bengal Gram,Kharif,125.48,132.05
2015,Coimbatore,Bengal Gram,Kharif,49.04,184
2016,Coimbatore,Groundnut,Kharif,75.77,135.06
2016,Coimbatore,Groundnut,Kharif,130.03,213.64
2016,Coimbatore,Bengal Gram,Kharif,54.38,155.34
2016,Coimbatore,Bengal Gram,Kharif,113.24,139.81
2017,Coimbatore,Groundnut,Kharif,112.08,195.68
2017,Coimbatore,Groundnut,Kharif,66.9,150.71
2017,Coimbatore,Bengal Gram,Kharif,93.83,165.13
2017,Coimbatore,Bengal Gram,Kharif,125.82,148.57
2018,Coimbatore,Groundnut,Kharif,58.24,191.15
2018,Coimbatore,Groundnut,Kharif,80.31,202.81
2018,Coimbatore,Bengal Gram,Kharif,90.25,193.47
2018,Coimbatore,Bengal Gram,Kharif,107.92,158.56
2019,Coimbatore,Groundnut,Kharif,76.86,203.01
2019,Coimbatore,Groundnut,Kharif,94.58,140.03
2019,Coimbatore,Bengal Gram,Kharif,86.67,189.83
2019,Coimbatore,Bengal Gram,Kharif,128.83,127.45
2020,Coimbatore,Groundnut,Kharif,76.8,190.78
2020,Coimbatore,Groundnut,Kharif,126.2,201.12
2020,Coimbatore,Bengal Gram,Kharif,53.72,148.28
2020,Coimbatore,Bengal Gram,Kharif,112.84,184.46
2021,Coimbatore,Groundnut,Kharif,53.74,149.08
2021,Coimbatore,Groundnut,Kharif,57.39,126.94
2021,Coimbatore,Bengal Gram,Kharif,97.55,206.61
2021,Coimbatore,Bengal Gram,Kharif,91.7,174.24
2009,Coimbatore,Groundnut,Rabi,85.94,369.56
2009,Coimbatore,Groundnut,Rabi,100.66,279.28
2009,Coimbatore,Bengal Gram,Rabi,94.75,261.12
2009,Coimbatore,Bengal Gram,Rabi,82.4,407.05
2010,Coimbatore,Groundnut,Rabi,79.11,260.91
2010,Coimbatore,Groundnut,Rabi,83.95,408.75
2010,Coimbatore,Bengal Gram,Rabi,54.44,409.61
2010,Coimbatore,Bengal Gram,Rabi,59.04,261.67
2011,Coimbatore,Groundnut,Rabi,77.38,288.67
2011,Coimbatore,Groundnut,Rabi,53.62,291.49
2011,Coimbatore,Bengal Gram,Rabi,106.58,364.95
2011,Coimbatore,Bengal Gram,Rabi,49.97,351.68
2012,Coimbatore,Groundnut,Rabi,54.95,390.83
2012,Coimbatore,Groundnut,Rabi,58.93,306.56
2012,Coimbatore,Bengal Gram,Rabi,115.58,290.24
2012,Coimbatore,Bengal Gram,Rabi,127.13,320.81
2013,Coimbatore,Groundnut,Rabi,92.72,260.5
2013,Coimbatore,Groundnut,Rabi,79.13,288.9
2013,Coimbatore,Bengal Gram,Rabi,62.51,278.37
2013,Coimbatore,Bengal Gram,Rabi,106.56,272.76
2014,Coimbatore,Groundnut,Rabi,82.32,299.05
2014,Coimbatore,Groundnut,Rabi,60.59,315.82
2014,Coimbatore,Bengal Gram,Rabi,117.23,381.03
2014,Coimbatore,Bengal Gram,Rabi,127.27,383.37
2015,Coimbatore,Groundnut,Rabi,72.77,415.65
2015,Coimbatore,Groundnut,Rabi,53.14,376.39
2015,Coimbatore,Bengal Gram,Rabi,78.27,406.4
2015,Coimbatore,Bengal Gram,Rabi,83.19,281.84
2016,Coimbatore,Groundnut,Rabi,108.1,347.11
2016,Coimbatore,Groundnut,Rabi,122.7,269.61
2016,Coimbatore,Bengal Gram,Rabi,83.43,315.51
2016,Coimbatore,Bengal Gram,Rabi,81.63,344.96
2017,Coimbatore,Groundnut,Rabi,55.49,382.13
2017,Coimbatore,Groundnut,Rabi,133.69,417.23
2017,Coimbatore,Bengal Gram,Rabi,91.05,320.88
2017,Coimbatore,Bengal Gram,Rabi,67.48,382.6
2018,Coimbatore,Groundnut,Rabi,119.13,265.1
2018,Coimbatore,Groundnut,Rabi,53.51,367.45
2018,Coimbatore,Bengal Gram,Rabi,59.72,401.43
2018,Coimbatore,Bengal Gram,Rabi,128.75,343.03
2019,Coimbatore,Groundnut,Rabi,131.67,388.22
2019,Coimbatore,Groundnut,Rabi,111.67,402.66
2019,Coimbatore,Bengal Gram,Rabi,115.86,314.18
2019,Coimbatore,Bengal Gram,Rabi,100.65,399.05
2020,Coimbatore,Groundnut,Rabi,124.63,292.6
2020,Coimbatore,Groundnut,Rabi,80.06,414.18
2020,Coimbatore,Bengal Gram,Rabi,77.02,262.58
2020,Coimbatore,Bengal Gram,Rabi,77.58,265.54
2021,Coimbatore,Groundnut,Rabi,63.44,371.55
2021,Coimbatore,Groundnut,Rabi,114.39,371.7
2021,Coimbatore,Bengal Gram,Rabi,97.37,271.74
2021,Coimbatore,Bengal Gram,Rabi,99.86,384.96
2009,Coimbatore,Groundnut,Rabi,68.54,315.71
2009,Coimbatore,Groundnut,Rabi,104.83,309.69
2009,Coimbatore,Bengal Gram,Rabi,118.45,301.53
2009,Coimbatore,Bengal Gram,Rabi,119.92,272.13
2010,Coimbatore,Groundnut,Rabi,60.33,395.37
2010,Coimbatore,Groundnut,Rabi,84.12,381.62
2010,Coimbatore,Bengal Gram,Rabi,92.88,281.12
2010,Coimbatore,Bengal Gram,Rabi,121.95,267.61
2011,Coimbatore,Groundnut,Rabi,72.79,338.84
2011,Coimbatore,Groundnut,Rabi,94.08,264.1
2011,Coimbatore,Bengal Gram,Rabi,107.58,409.47
2011,Coimbatore,Bengal Gram,Rabi,79.75,289.42
2012,Coimbatore,Groundnut,Rabi,99.38,369.63
2012,Coimbatore,Groundnut,Rabi,60.09,277.05
2012,Coimbatore,Bengal Gram,Rabi,94.75,286.86
2012,Coimbatore,Bengal Gram,Rabi,75.62,338.42
2013,Coimbatore,Groundnut,Rabi,56.52,368.8
2013,Coimbatore,Groundnut,Rabi,48.79,276.01
2013,Coimbatore,Bengal Gram,Rabi,98.78,343.64
2013,Coimbatore,Bengal Gram,Rabi,123.66,291.72
2014,Coimbatore,Groundnut,Rabi,63.59,334.59
2014,Coimbatore,Groundnut,Rabi,71.81,332.54
2014,Coimbatore,Bengal Gram,Rabi,67.5,418.43
2014,Coimbatore,Bengal Gram,Rabi,63.73,264.95
2015,Coimbatore,Groundnut,Rabi,87.08,267.96
2015,Coimbatore,Groundnut,Rabi,99.29,360.04
2015,Coimbatore,Bengal Gram,Rabi,130.22,265.04
2015,Coimbatore,Bengal Gram,Rabi,67.27,415.88
2016,Coimbatore,Groundnut,Rabi,79.76,366.91
2016,Coimbatore,Groundnut,Rabi,110.16,266.46
2016,Coimbatore,Bengal Gram,Rabi,102.11,348.34
2016,Coimbatore,Bengal Gram,Rabi,87.44,321.07
2017,Coimbatore,Groundnut,Rabi,106.29,317.3
2017,Coimbatore,Groundnut,Rabi,123.17,315.38
2017,Coimbatore,Bengal Gram,Rabi,48.78,283.19
2017,Coimbatore,Bengal Gram,Rabi,96.75,291.21
2018,Coimbatore,Groundnut,Rabi,112.59,411.24
2018,Coimbatore,Groundnut,Rabi,129.3,406.73
2018,Coimbatore,Bengal Gram,Rabi,106.26,262.84
2018,Coimbatore,Bengal Gram,Rabi,83.2,411.12
2019,Coimbatore,Groundnut,Rabi,116.8,355.95
2019,Coimbatore,Groundnut,Rabi,107.68,377.65
2019,Coimbatore,Bengal Gram,Rabi,57.01,349.14
2019,Coimbatore,Bengal Gram,Rabi,88.62,412.13
2020,Coimbatore,Groundnut,Rabi,48.94,281.26
2020,Coimbatore,Groundnut,Rabi,113.83,272.54
2020,Coimbatore,Bengal Gram,Rabi,57.59,262.01
2020,Coimbatore,Bengal Gram,Rabi,83.95,269.28
2021,Coimbatore,Groundnut,Rabi,133.33,300
2021,Coimbatore,Groundnut,Rabi,125.91,343.09
2021,Coimbatore,Bengal Gram,Rabi,119.39,384.05
2021,Coimbatore,Bengal Gram,Rabi,110.18,323.23
2009,Thanjavur,Groundnut,Rabi,561.47,926.51
2009,Thanjavur,Groundnut,Rabi,627.18,1201.02
2009,Thanjavur,Bengal Gram,Rabi,392.17,1008.17
2009,Thanjavur,Bengal Gram,Rabi,642.73,886.27
2010,Thanjavur,Groundnut,Rabi,620.92,888.41
2010,Thanjavur,Groundnut,Rabi,432.62,719.55
2010,Thanjavur,Bengal Gram,Rabi,466.91,1063.4
2010,Thanjavur,Bengal Gram,Rabi,430.99,921.84
2011,Thanjavur,Groundnut,Rabi,470.26,1209.83
2011,Thanjavur,Groundnut,Rabi,617.7,1258.99
2011,Thanjavur,Bengal Gram,Rabi,637.08,998.98
2011,Thanjavur,Bengal Gram,Rabi,642.46,1140.65
2012,Thanjavur,Groundnut,Rabi,413.79,1006.63
2012,Thanjavur,Groundnut,Rabi,655.99,1182.78
2012,Thanjavur,Bengal Gram,Rabi,523.46,1276.01
2012,Thanjavur,Bengal Gram,Rabi,638.53,854.1
2013,Thanjavur,Groundnut,Rabi,388.86,1194.82
2013,Thanjavur,Groundnut,Rabi,427.33,875.73
2013,Thanjavur,Bengal Gram,Rabi,486.23,1195.44
2013,Thanjavur,Bengal Gram,Rabi,669.66,840.25
2014,Thanjavur,Groundnut,Rabi,635.36,1244.3
2014,Thanjavur,Groundnut,Rabi,664.12,974.53
2014,Thanjavur,Bengal Gram,Rabi,406.24,938.29
2014,Thanjavur,Bengal Gram,Rabi,619.51,910.1
2015,Thanjavur,Groundnut,Rabi,381.58,1079.87
2015,Thanjavur,Groundnut,Rabi,450.18,1219.23
2015,Thanjavur,Bengal Gram,Rabi,431.88,925.61
2015,Thanjavur,Bengal Gram,Rabi,622.17,1248.15
2016,Thanjavur,Groundnut,Rabi,607.17,1093.02
2016,Thanjavur,Groundnut,Rabi,430.93,1001.76
2016,Thanjavur,Bengal Gram,Rabi,382.35,781.1
2016,Thanjavur,Bengal Gram,Rabi,596.67,854.59
2017,Thanjavur,Groundnut,Rabi,476.75,932.56
2017,Thanjavur,Groundnut,Rabi,429.07,1186.09
2017,Thanjavur,Bengal Gram,Rabi,571.41,796.97
2017,Thanjavur,Bengal Gram,Rabi,589.48,754
2018,Thanjavur,Groundnut,Rabi,618.52,1022.21
2018,Thanjavur,Groundnut,Rabi,422.93,990.77
2018,Thanjavur,Bengal Gram,Rabi,541.56,1218.16
2018,Thanjavur,Bengal Gram,Rabi,622.72,963.42
2019,Thanjavur,Groundnut,Rabi,395.2,1248.01
2019,Thanjavur,Groundnut,Rabi,384.69,1024.17
2019,Thanjavur,Bengal Gram,Rabi,573.54,1057.1
2019,Thanjavur,Bengal Gram,Rabi,618.8,1126.71
2020,Thanjavur,Groundnut,Rabi,647.67,1171.84
2020,Thanjavur,Groundnut,Rabi,436.37,1236.95
2020,Thanjavur,Bengal Gram,Rabi,496.04,1238.32
2020,Thanjavur,Bengal Gram,Rabi,545.64,1028.2
2021,Thanjavur,Groundnut,Rabi,631.68,1272.81
2021,Thanjavur,Groundnut,Rabi,632.8,1132.67
2021,Thanjavur,Bengal Gram,Rabi,543.88,1222.2
2021,Thanjavur,Bengal Gram,Rabi,419.2,1096.12
2009,Thanjavur,Groundnut,Rabi,592.93,1237.98
2009,Thanjavur,Groundnut,Rabi,486.29,772.85
2009,Thanjavur,Bengal Gram,Rabi,520.48,920.84
2009,Thanjavur,Bengal Gram,Rabi,428.27,929.3
2010,Thanjavur,Groundnut,Rabi,398.61,772.38
2010,Thanjavur,Groundnut,Rabi,668.3,921.61
2010,Thanjavur,Bengal Gram,Rabi,471.3,888.56
2010,Thanjavur,Bengal Gram,Rabi,652.16,931.85
2011,Thanjavur,Groundnut,Rabi,615.12,1100.87
2011,Thanjavur,Groundnut,Rabi,457.31,862.11
2011,Thanjavur,Bengal Gram,Rabi,480.81,1207.61
2011,Thanjavur,Bengal Gram,Rabi,467,993.38
2012,Thanjavur,Groundnut,Rabi,481.95,1260.23
2012,Thanjavur,Groundnut,Rabi,514.3,1028.7
2012,Thanjavur,Bengal Gram,Rabi,412.06,940.17
2012,Thanjavur,Bengal Gram,Rabi,565.62,1141.66
2013,Thanjavur,Groundnut,Rabi,381.78,1031.6
2013,Thanjavur,Groundnut,Rabi,470.91,1314.08
2013,Thanjavur,Bengal Gram,Rabi,551.63,1227.97
2013,Thanjavur,Bengal Gram,Rabi,498.72,1062.82
2014,Thanjavur,Groundnut,Rabi,662.28,812.08
2014,Thanjavur,Groundnut,Rabi,466.29,986.02
2014,Thanjavur,Bengal Gram,Rabi,426.78,798.56
2014,Thanjavur,Bengal Gram,Rabi,644.37,843.7
2015,Thanjavur,Groundnut,Rabi,664.71,899.2
2015,Thanjavur,Groundnut,Rabi,575.82,1016
2015,Thanjavur,Bengal Gram,Rabi,560.4,1090.58
2015,Thanjavur,Bengal Gram,Rabi,550.01,999.59
2016,Thanjavur,Groundnut,Rabi,618.49,881.15
2016,Thanjavur,Groundnut,Rabi,592.18,1054.96
2016,Thanjavur,Bengal Gram,Rabi,401.34,901.65
2016,Thanjavur,Bengal Gram,Rabi,409.39,1157.13
2017,Thanjavur,Groundnut,Rabi,430.18,980.97
2017,Thanjavur,Groundnut,Rabi,545.61,1306.79
2017,Thanjavur,Bengal Gram,Rabi,574.44,849.99
2017,Thanjavur,Bengal Gram,Rabi,587.19,1244.37
2018,Thanjavur,Groundnut,Rabi,448.55,1231.44
2018,Thanjavur,Groundnut,Rabi,507.56,1037.65
2018,Thanjavur,Bengal Gram,Rabi,667.82,991.03
2018,Thanjavur,Bengal Gram,Rabi,549.12,791.43
2019,Thanjavur,Groundnut,Rabi,594.94,816.07
2019,Thanjavur,Groundnut,Rabi,465.28,1085.08
2019,Thanjavur,Bengal Gram,Rabi,622.49,1038.13
2019,Thanjavur,Bengal Gram,Rabi,638.61,809.54
2020,Thanjavur,Groundnut,Rabi,441.73,1207.87
2020,Thanjavur,Groundnut,Rabi,668.56,786.28
2020,Thanjavur,Bengal Gram,Rabi,499.79,1220.46
2020,Thanjavur,Bengal Gram,Rabi,422.88,1104.32
2021,Thanjavur,Groundnut,Rabi,488.54,717.71
2021,Thanjavur,Groundnut,Rabi,622.45,811.08
2021,Thanjavur,Bengal Gram,Rabi,437.63,1070.83
2021,Thanjavur,Bengal Gram,Rabi,532.92,766.13
2009,Thirunelveli,Groundnut,Rabi,121.19,523.95
2009,Thirunelveli,Groundnut,Rabi,106.67,426.91
2009,Thirunelveli,Bengal Gram,Rabi,69.36,575.45
2009,Thirunelveli,Bengal Gram,Rabi,113.48,451.97
2010,Thirunelveli,Groundnut,Rabi,132.96,583.56
2010,Thirunelveli,Groundnut,Rabi,170.26,469.99
2010,Thirunelveli,Bengal Gram,Rabi,124.01,489.31
2010,Thirunelveli,Bengal Gram,Rabi,99.31,570.1
2011,Thirunelveli,Groundnut,Rabi,97.43,592.42
2011,Thirunelveli,Groundnut,Rabi,65.46,579.37
2011,Thirunelveli,Bengal Gram,Rabi,82.5,598.76
2011,Thirunelveli,Bengal Gram,Rabi,137.33,463.18
2012,Thirunelveli,Groundnut,Rabi,148.3,421.83
2012,Thirunelveli,Groundnut,Rabi,146.43,587.51
2012,Thirunelveli,Bengal Gram,Rabi,90.51,595.31
2012,Thirunelveli,Bengal Gram,Rabi,127.61,414.59
2013,Thirunelveli,Groundnut,Rabi,135.85,590.2
2013,Thirunelveli,Groundnut,Rabi,142.69,569.71
2013,Thirunelveli,Bengal Gram,Rabi,149.62,543.89
2013,Thirunelveli,Bengal Gram,Rabi,123.52,458.19
2014,Thirunelveli,Groundnut,Rabi,136.09,553.01
2014,Thirunelveli,Groundnut,Rabi,86.8,481.77
